,accuracy,loss,val_accuracy,val_loss
0,0.5475000143051147,1.1258312463760376,0.7763827443122864,0.6186602711677551
1,0.8199999928474426,0.48700693249702454,0.8547675609588623,0.41116732358932495
2,0.878333330154419,0.3233160376548767,0.8350865244865417,0.38729947805404663
3,0.9083333611488342,0.248015359044075,0.8842890858650208,0.3014433681964874
4,0.9258333444595337,0.2163139283657074,0.8289785981178284,0.3731251657009125
5,0.9225000143051147,0.2039864957332611,0.8445877432823181,0.33291396498680115
6,0.95333331823349,0.14261570572853088,0.9121140241622925,0.21960173547267914
7,0.9474999904632568,0.13800573348999023,0.913810670375824,0.2196323126554489
8,0.9624999761581421,0.11530834436416626,0.9039701223373413,0.23947322368621826
9,0.9666666388511658,0.10996584594249725,0.8703766465187073,0.34037262201309204
10,0.9399999976158142,0.13904501497745514,0.91923987865448,0.21368718147277832
11,0.9683333039283752,0.09270109236240387,0.9209365248680115,0.20984876155853271
12,0.9516666531562805,0.13464368879795074,0.8374618291854858,0.4179418385028839
13,0.9508333206176758,0.11950056999921799,0.8863250613212585,0.32457828521728516
14,0.971666693687439,0.07724668830633163,0.9246691465377808,0.20223549008369446
15,0.9808333516120911,0.06451749801635742,0.9267051219940186,0.2084243893623352
16,0.9783333539962769,0.06582802534103394,0.9168646335601807,0.2334320992231369
17,0.9791666865348816,0.06183653697371483,0.907024085521698,0.2703727185726166
18,0.9483333230018616,0.1064658910036087,0.8815745115280151,0.31063157320022583
19,0.9775000214576721,0.06867709010839462,0.9144893288612366,0.2523554861545563
